global_time,timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2),Load sensor value (3)
1694006644.424286,2040878348.0,315.0,292.0,493.0
1694006644.425387,2040880528.0,320.0,311.0,493.0
1694006644.4259434,2040882708.0,325.0,338.0,495.0
1694006644.4259434,2040884884.0,330.0,357.0,494.0
1694006644.426521,2040887068.0,333.0,362.0,492.0
1694006644.427091,2040889248.0,333.0,351.0,494.0
1694006644.427635,2040891424.0,328.0,330.0,493.0
1694006644.4281554,2040893604.0,323.0,306.0,493.0
1694006644.4281554,2040895784.0,317.0,290.0,496.0
1694006644.4286988,2040897964.0,318.0,291.0,495.0
1694006644.4292467,2040900144.0,319.0,307.0,492.0
1694006644.4292467,2040902324.0,323.0,332.0,495.0
1694006644.429798,2040904504.0,329.0,352.0,492.0
1694006644.4303126,2040906684.0,332.0,361.0,492.0
1694006644.4303398,2040908864.0,332.0,355.0,493.0
1694006644.4308655,2040911044.0,330.0,334.0,495.0
1694006644.4308655,2040913224.0,325.0,309.0,493.0
1694006644.4313858,2040915404.0,320.0,292.0,496.0
1694006644.4319477,2040917580.0,317.0,290.0,492.0
1694006644.4319477,2040919760.0,319.0,302.0,493.0
1694006644.4324837,2040921944.0,322.0,326.0,496.0
1694006644.4330127,2040924120.0,327.0,348.0,492.0
1694006644.4330127,2040926300.0,332.0,362.0,493.0
1694006644.4335427,2040928488.0,334.0,358.0,494.0
1694006644.4340997,2040930668.0,330.0,341.0,491.0
1694006644.4340997,2040932840.0,325.0,316.0,495.0
1694006644.4346187,2040935020.0,323.0,295.0,492.0
1694006644.4351406,2040937200.0,322.0,289.0,494.0
1694006644.4351406,2040939380.0,317.0,298.0,493.0
1694006644.436195,2040941556.0,318.0,320.0,492.0
1694006644.483936,2040943740.0,326.0,343.0,495.0
1694006644.4849908,2040945916.0,332.0,361.0,494.0
1694006644.4849908,2040948096.0,334.0,362.0,494.0
1694006644.485615,2040950276.0,330.0,343.0,495.0
1694006644.48616,2040952456.0,327.0,320.0,492.0
1694006644.48616,2040954636.0,323.0,299.0,492.0
1694006644.4872231,2040956816.0,320.0,290.0,496.0
1694006644.4877563,2040958996.0,314.0,294.0,496.0
1694006644.4882927,2040961176.0,320.0,313.0,492.0
1694006644.4882927,2040963356.0,322.0,339.0,491.0
1694006644.48882,2040965536.0,330.0,358.0,491.0
1694006644.4893513,2040967716.0,334.0,361.0,497.0
1694006644.4898791,2040969892.0,335.0,350.0,491.0
1694006644.4898791,2040972076.0,325.0,327.0,496.0
1694006644.4904046,2040974252.0,320.0,305.0,494.0
1694006644.4909298,2040976432.0,322.0,291.0,493.0
1694006644.4909298,2040978612.0,316.0,292.0,496.0
1694006644.491459,2040980792.0,318.0,308.0,492.0
1694006644.491986,2040982972.0,325.0,334.0,493.0
1694006644.491986,2040985152.0,329.0,352.0,496.0
1694006644.4925115,2040987332.0,334.0,362.0,492.0
1694006644.4930382,2040989512.0,331.0,354.0,494.0
1694006644.4935641,2040991692.0,329.0,333.0,494.0
1694006644.4935641,2040993872.0,324.0,309.0,492.0
1694006644.4940777,2040996052.0,319.0,293.0,494.0
1694006644.494601,2040998240.0,317.0,290.0,495.0
1694006644.494601,2041000412.0,316.0,303.0,493.0
1694006644.5471478,2041002588.0,321.0,328.0,492.0
1694006644.5476825,2041004772.0,331.0,349.0,494.0
1694006644.5487368,2041006948.0,334.0,361.0,493.0
1694006644.5487368,2041009128.0,334.0,356.0,491.0
1694006644.5492594,2041011308.0,329.0,339.0,496.0
1694006644.5497844,2041013488.0,325.0,315.0,494.0
1694006644.550307,2041015668.0,321.0,295.0,491.0
1694006644.550832,2041017848.0,316.0,289.0,494.0
1694006644.550832,2041020028.0,318.0,298.0,492.0
1694006644.5513518,2041022208.0,322.0,321.0,493.0
1694006644.5518742,2041024388.0,327.0,344.0,495.0
