global_time,timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2),Load sensor value (3)
1692803852.215145,489890120.0,317.0,323.0,72522.0
1692803852.2161465,489892560.0,325.0,329.0,72522.0
1692803852.2161465,489895004.0,328.0,324.0,72522.0
1692803852.2171452,489897444.0,327.0,329.0,72522.0
1692803852.2171452,489899884.0,327.0,330.0,72522.0
1692803852.2171452,489902328.0,323.0,325.0,72522.0
1692803852.2181466,489904768.0,324.0,324.0,72522.0
1692803852.2181466,489907216.0,320.0,318.0,72522.0
1692803852.2191453,489909652.0,322.0,317.0,72522.0
1692803852.2191453,489912092.0,325.0,324.0,72522.0
1692803852.2201464,489914532.0,326.0,329.0,72522.0
1692803852.2201464,489916976.0,327.0,329.0,72522.0
1692803852.2201464,489919416.0,326.0,330.0,72522.0
1692803852.2211452,489921856.0,324.0,325.0,72522.0
1692803852.2211452,489924300.0,324.0,323.0,72522.0
1692803852.2221463,489926740.0,322.0,322.0,72522.0
1692803852.2221463,489929180.0,323.0,322.0,72522.0
1692803852.2221463,489931624.0,325.0,324.0,72522.0
1692803852.223146,489934064.0,327.0,328.0,72522.0
1692803852.223146,489936504.0,323.0,328.0,72522.0
1692803852.224146,489938956.0,324.0,325.0,72522.0
1692803852.224146,489941388.0,327.0,332.0,72522.0
1692803852.2251465,489943828.0,325.0,325.0,72522.0
1692803852.2251465,489946268.0,319.0,321.0,72522.0
1692803852.2251465,489948712.0,324.0,321.0,72522.0
1692803852.226146,489951152.0,325.0,324.0,72522.0
1692803852.226146,489953596.0,326.0,326.0,72522.0
1692803852.2768579,489956036.0,327.0,330.0,72522.0
1692803852.2778578,489958476.0,326.0,330.0,72522.0
1692803852.2778578,489960916.0,327.0,326.0,72522.0
1692803852.278858,489963356.0,324.0,324.0,73389.0
1692803852.278858,489966080.0,324.0,324.0,73389.0
1692803852.278858,489968520.0,323.0,316.0,73389.0
1692803852.2798579,489970960.0,323.0,324.0,73389.0
1692803852.2798579,489973404.0,321.0,326.0,73389.0
1692803852.2798579,489975844.0,325.0,330.0,73389.0
1692803852.2808573,489978284.0,326.0,330.0,73389.0
1692803852.2808573,489980724.0,329.0,324.0,73389.0
1692803852.2808573,489983168.0,323.0,327.0,73389.0
1692803852.281858,489985608.0,325.0,323.0,73389.0
1692803852.281858,489988052.0,326.0,321.0,73389.0
1692803852.2828588,489990492.0,320.0,322.0,73389.0
1692803852.2828588,489992932.0,323.0,324.0,73389.0
1692803852.2838588,489995372.0,328.0,325.0,73389.0
1692803852.2838588,489997816.0,322.0,330.0,73389.0
1692803852.2848601,490000256.0,326.0,329.0,73389.0
1692803852.2848601,490002696.0,329.0,326.0,73389.0
1692803852.2848601,490005140.0,324.0,324.0,73389.0
1692803852.2858572,490007580.0,322.0,320.0,73389.0
1692803852.2858572,490010020.0,324.0,324.0,73389.0
1692803852.2858572,490012464.0,322.0,319.0,73389.0
1692803852.286858,490014904.0,326.0,327.0,73389.0
1692803852.3366396,490017344.0,325.0,332.0,73389.0
1692803852.3376393,490019788.0,327.0,323.0,73389.0
1692803852.3376393,490022228.0,324.0,329.0,73389.0
1692803852.3376393,490024668.0,323.0,321.0,73389.0
1692803852.3386393,490027108.0,323.0,325.0,73389.0
1692803852.3386393,490029552.0,328.0,322.0,73389.0
1692803852.3386393,490031992.0,319.0,317.0,73389.0
1692803852.3396392,490034432.0,320.0,327.0,73389.0
1692803852.3396392,490036876.0,327.0,331.0,73389.0
1692803852.3406396,490039324.0,326.0,327.0,73389.0
1692803852.3406396,490041756.0,328.0,328.0,73389.0
1692803852.3406396,490044200.0,325.0,325.0,73389.0
1692803852.3416395,490046640.0,324.0,324.0,73389.0
1692803852.3416395,490049080.0,322.0,322.0,73389.0
1692803852.3416395,490051524.0,324.0,327.0,73389.0
1692803852.3426397,490053964.0,324.0,315.0,73389.0
1692803852.3426397,490056404.0,327.0,329.0,73389.0
1692803852.3426397,490058848.0,328.0,331.0,73389.0
1692803852.3436394,490061288.0,327.0,328.0,73389.0
1692803852.3436394,490063728.0,325.0,321.0,79177.0
1692803852.3436394,490066368.0,324.0,324.0,79177.0
1692803852.34464,490068812.0,321.0,321.0,79177.0
1692803852.34464,490071252.0,323.0,323.0,79177.0
1692803852.34464,490073692.0,322.0,325.0,79177.0
1692803852.3456397,490076136.0,321.0,329.0,79177.0
1692803852.4026268,490078576.0,325.0,330.0,79177.0
1692803852.4026268,490081016.0,326.0,330.0,79177.0
1692803852.403626,490083460.0,325.0,323.0,79177.0
1692803852.403626,490085900.0,325.0,323.0,79177.0
1692803852.403626,490088340.0,323.0,321.0,79177.0
1692803852.4046283,490090784.0,323.0,323.0,79177.0
1692803852.4046283,490093224.0,324.0,322.0,79177.0
1692803852.405626,490095664.0,326.0,327.0,79177.0
1692803852.405626,490098108.0,326.0,331.0,79177.0
1692803852.4066277,490100548.0,326.0,328.0,79177.0
1692803852.4066277,490102988.0,325.0,326.0,79177.0
1692803852.4076262,490105428.0,319.0,325.0,79177.0
1692803852.4076262,490107872.0,325.0,321.0,79177.0
1692803852.4076262,490110312.0,323.0,320.0,79177.0
1692803852.4086273,490112752.0,323.0,324.0,79177.0
1692803852.4086273,490115196.0,325.0,326.0,79177.0
