global_time,timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2),Touch sensor 3 (ring finger),Touch sensor 2 (middle finger),Touch sensor 1 (index finger)
1694001868.3737853,66468364.0,336.0,322.0,0.0,0.0,1.0
1694001868.3747852,66470456.0,328.0,326.0,0.0,0.0,1.0
1694001868.3747852,66472548.0,331.0,325.0,0.0,0.0,1.0
1694001868.3757858,66474640.0,340.0,323.0,0.0,0.0,1.0
1694001868.3767855,66476736.0,344.0,329.0,0.0,0.0,1.0
1694001868.3767855,66478828.0,317.0,332.0,0.0,0.0,1.0
1694001868.3777866,66480920.0,333.0,328.0,0.0,0.0,1.0
1694001868.3777866,66483012.0,333.0,328.0,0.0,0.0,1.0
1694001868.378787,66485104.0,343.0,325.0,0.0,0.0,1.0
1694001868.379786,66487196.0,330.0,322.0,0.0,0.0,1.0
1694001868.379786,66489288.0,337.0,322.0,0.0,0.0,1.0
1694001868.3807855,66491384.0,333.0,323.0,0.0,0.0,1.0
1694001868.3807855,66493476.0,323.0,325.0,0.0,0.0,1.0
1694001868.381786,66495568.0,328.0,327.0,0.0,0.0,1.0
1694001868.3827856,66497660.0,314.0,329.0,0.0,0.0,1.0
1694001868.3827856,66499752.0,331.0,331.0,0.0,0.0,1.0
1694001868.383786,66501844.0,327.0,331.0,0.0,0.0,1.0
1694001868.383786,66503936.0,344.0,329.0,0.0,0.0,1.0
1694001868.3847857,66506028.0,352.0,327.0,0.0,0.0,1.0
1694001868.3847857,66508120.0,337.0,322.0,0.0,0.0,1.0
1694001868.3857856,66510216.0,331.0,323.0,1.0,0.0,1.0
1694001868.3857856,66512308.0,335.0,322.0,1.0,1.0,1.0
1694001868.3867857,66514400.0,327.0,325.0,1.0,1.0,1.0
1694001868.3877857,66516492.0,335.0,327.0,1.0,1.0,1.0
1694001868.3877857,66518584.0,348.0,328.0,1.0,1.0,1.0
1694001868.3887851,66520676.0,330.0,334.0,1.0,1.0,1.0
1694001868.3887851,66522768.0,312.0,325.0,1.0,1.0,1.0
1694001868.389785,66524864.0,321.0,320.0,1.0,1.0,1.0
1694001868.3907847,66526956.0,333.0,326.0,1.0,1.0,1.0
1694001868.437785,66529048.0,334.0,325.0,1.0,1.0,1.0
1694001868.4387848,66531140.0,337.0,327.0,1.0,1.0,1.0
1694001868.4397848,66533232.0,340.0,326.0,1.0,1.0,1.0
1694001868.4397848,66535324.0,331.0,321.0,1.0,1.0,1.0
1694001868.440785,66537416.0,331.0,328.0,1.0,1.0,1.0
1694001868.4417849,66539508.0,342.0,333.0,1.0,1.0,1.0
1694001868.4417849,66541600.0,325.0,333.0,1.0,1.0,1.0
1694001868.4427848,66543696.0,328.0,325.0,1.0,1.0,1.0
1694001868.4427848,66545788.0,349.0,324.0,1.0,1.0,1.0
1694001868.4437852,66547880.0,332.0,321.0,1.0,1.0,1.0
1694001868.4437852,66549972.0,303.0,320.0,1.0,1.0,1.0
1694001868.4447849,66552064.0,327.0,325.0,1.0,1.0,1.0
1694001868.445785,66554156.0,352.0,326.0,1.0,1.0,1.0
1694001868.445785,66556248.0,329.0,326.0,1.0,1.0,1.0
1694001868.446787,66558340.0,330.0,328.0,1.0,1.0,1.0
1694001868.446787,66560436.0,329.0,329.0,1.0,1.0,1.0
1694001868.4477851,66562528.0,323.0,330.0,1.0,1.0,1.0
1694001868.4487846,66564620.0,335.0,327.0,1.0,1.0,1.0
1694001868.4487846,66566712.0,344.0,325.0,1.0,1.0,1.0
1694001868.4497845,66568804.0,341.0,324.0,1.0,1.0,1.0
1694001868.4497845,66570896.0,334.0,324.0,1.0,1.0,1.0
1694001868.4507847,66572988.0,318.0,323.0,1.0,1.0,1.0
1694001868.4507847,66575084.0,335.0,329.0,1.0,1.0,1.0
1694001868.4517846,66577172.0,344.0,332.0,1.0,1.0,1.0
1694001868.4517846,66579264.0,345.0,337.0,1.0,1.0,1.0
1694001868.452785,66581360.0,316.0,334.0,1.0,1.0,1.0
1694001868.452785,66583452.0,312.0,320.0,1.0,1.0,1.0
1694001868.453785,66585544.0,345.0,320.0,1.0,1.0,1.0
1694001868.4547849,66587636.0,332.0,318.0,1.0,1.0,1.0
1694001868.4547849,66589728.0,325.0,324.0,1.0,1.0,1.0
1694001868.4557848,66591820.0,341.0,323.0,1.0,1.0,1.0
1694001868.4987857,66593916.0,351.0,326.0,1.0,1.0,1.0
1694001868.4993293,66596008.0,324.0,325.0,1.0,1.0,1.0
1694001868.5002985,66598100.0,305.0,330.0,1.0,1.0,1.0
1694001868.5002985,66600192.0,299.0,332.0,1.0,1.0,1.0
1694001868.5012982,66602284.0,344.0,333.0,1.0,1.0,1.0
1694001868.5022986,66604376.0,349.0,332.0,1.0,1.0,1.0
1694001868.502821,66606468.0,350.0,327.0,1.0,1.0,1.0
1694001868.502821,66608564.0,329.0,320.0,1.0,1.0,1.0
1694001868.5038092,66610652.0,325.0,319.0,1.0,1.0,1.0
1694001868.5038092,66612748.0,323.0,324.0,1.0,1.0,1.0
1694001868.504809,66614840.0,335.0,323.0,1.0,1.0,1.0
