timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2)
167129892.0,324.0,323.0
167131548.0,323.0,324.0
167133212.0,314.0,325.0
167134864.0,322.0,329.0
167136520.0,327.0,331.0
167138176.0,328.0,330.0
167139832.0,330.0,332.0
167141488.0,330.0,329.0
167143144.0,329.0,328.0
167144800.0,327.0,326.0
167146460.0,325.0,324.0
167148112.0,325.0,321.0
167149772.0,324.0,323.0
167151428.0,320.0,324.0
167153084.0,320.0,326.0
167154740.0,323.0,329.0
167156396.0,323.0,331.0
167158052.0,322.0,332.0
167159712.0,325.0,331.0
167161368.0,326.0,330.0
167163024.0,327.0,327.0
167164680.0,325.0,326.0
167166336.0,325.0,324.0
167167992.0,324.0,323.0
167169648.0,323.0,323.0
167171308.0,322.0,325.0
167172964.0,322.0,325.0
167174620.0,323.0,328.0
167176276.0,323.0,329.0
167177932.0,327.0,331.0
167179588.0,328.0,331.0
167181244.0,332.0,331.0
167182904.0,329.0,328.0
167184560.0,328.0,328.0
167186216.0,326.0,324.0
167187872.0,324.0,324.0
167189532.0,322.0,323.0
167191184.0,322.0,323.0
167192840.0,321.0,326.0
167194496.0,323.0,328.0
167196156.0,323.0,329.0
167197812.0,325.0,332.0
167199468.0,328.0,332.0
167201124.0,329.0,331.0
167202780.0,324.0,328.0
167204436.0,323.0,325.0
167206092.0,323.0,324.0
167207748.0,321.0,323.0
167209408.0,324.0,323.0
167211064.0,325.0,324.0
167212720.0,325.0,325.0
167214376.0,321.0,326.0
167216032.0,320.0,329.0
167217692.0,326.0,331.0
167219348.0,327.0,332.0
167221004.0,327.0,330.0
167222660.0,327.0,329.0
167224316.0,327.0,328.0
167225972.0,325.0,324.0
167227628.0,327.0,323.0
167229284.0,327.0,324.0
167230940.0,326.0,323.0
167232600.0,322.0,325.0
167234256.0,322.0,327.0
167235912.0,324.0,330.0
167237568.0,327.0,331.0
167239224.0,324.0,331.0
167240884.0,326.0,332.0
167242540.0,324.0,330.0
167244196.0,326.0,328.0
167245852.0,326.0,326.0
167247508.0,325.0,322.0
167249164.0,323.0,322.0
167250820.0,319.0,324.0
167252480.0,325.0,324.0
167254136.0,325.0,327.0
167255792.0,324.0,329.0
167257448.0,323.0,332.0
167259104.0,324.0,331.0
167260760.0,327.0,332.0
167262416.0,328.0,331.0
167264072.0,326.0,328.0
167265728.0,326.0,326.0
167267388.0,326.0,324.0
167269044.0,326.0,322.0
167270700.0,324.0,323.0
167272356.0,320.0,324.0
167274012.0,323.0,326.0
167275668.0,324.0,329.0
167277324.0,326.0,330.0
167278984.0,327.0,332.0
167280648.0,328.0,331.0
167282296.0,329.0,331.0
167283952.0,328.0,329.0
167285608.0,325.0,324.0
167287264.0,320.0,322.0
167288924.0,318.0,322.0
167290580.0,322.0,322.0
167292236.0,327.0,324.0
167293892.0,323.0,326.0
167295548.0,324.0,329.0
167297204.0,323.0,329.0
167298860.0,324.0,331.0
167300516.0,325.0,331.0
167302176.0,328.0,330.0
167303832.0,330.0,330.0
167305488.0,326.0,326.0
167307144.0,326.0,325.0
167308800.0,326.0,324.0
167310456.0,323.0,322.0
167312112.0,325.0,324.0
167313772.0,324.0,326.0
167315428.0,325.0,328.0
167317084.0,324.0,330.0
167318740.0,329.0,331.0
167320396.0,330.0,331.0
167322052.0,327.0,331.0
167323708.0,326.0,329.0
167325368.0,322.0,325.0
167327024.0,327.0,325.0
167328680.0,322.0,322.0
167330336.0,321.0,324.0
167331992.0,324.0,324.0
167333652.0,323.0,325.0
167335308.0,323.0,328.0
167336972.0,326.0,331.0
167338620.0,327.0,331.0
167340276.0,328.0,331.0
167341932.0,332.0,332.0
167343588.0,328.0,328.0
167345244.0,325.0,326.0
167346900.0,320.0,324.0
167348560.0,321.0,323.0
167350216.0,324.0,323.0
167351872.0,322.0,324.0
167353528.0,323.0,325.0
167355184.0,322.0,327.0
167356840.0,324.0,330.0
167358496.0,327.0,331.0
167360156.0,328.0,331.0
167361812.0,328.0,331.0
167363468.0,330.0,330.0
167365124.0,328.0,326.0
167366780.0,325.0,325.0
167368436.0,322.0,323.0
167370092.0,322.0,323.0
167371752.0,322.0,323.0
167373408.0,322.0,324.0
167375064.0,320.0,327.0
167376720.0,323.0,328.0
167378376.0,326.0,331.0
167380032.0,328.0,331.0
167381692.0,329.0,333.0
167383344.0,327.0,331.0
167385004.0,324.0,327.0
167386660.0,325.0,325.0
167388316.0,324.0,324.0
167389972.0,324.0,324.0
167391628.0,326.0,323.0
167393292.0,325.0,324.0
167394944.0,323.0,326.0
167396600.0,324.0,330.0
167398256.0,325.0,331.0
167399912.0,328.0,332.0
167401568.0,327.0,332.0
167403224.0,325.0,330.0
167404880.0,324.0,328.0
167406536.0,326.0,324.0
167408196.0,325.0,323.0
167409852.0,323.0,322.0
167411508.0,324.0,322.0
167413164.0,321.0,324.0
167414820.0,325.0,325.0
167416480.0,327.0,328.0
167418132.0,321.0,330.0
167419792.0,321.0,331.0
167421448.0,327.0,331.0
167423104.0,328.0,329.0
167424760.0,330.0,329.0
167426416.0,327.0,326.0
167428072.0,325.0,325.0
167429732.0,325.0,323.0
167431388.0,325.0,323.0
167433044.0,324.0,324.0
167434700.0,322.0,327.0
167436356.0,325.0,329.0
167438012.0,326.0,331.0
167439668.0,326.0,332.0
167441324.0,324.0,331.0
167442980.0,325.0,330.0
167444640.0,326.0,329.0
167446296.0,324.0,325.0
167447952.0,325.0,324.0
167449616.0,321.0,323.0
167451264.0,320.0,322.0
167452924.0,322.0,323.0
167454580.0,321.0,326.0
167456236.0,322.0,329.0
167457892.0,326.0,331.0
167459548.0,332.0,332.0
167461204.0,332.0,331.0
167462860.0,333.0,332.0
167464516.0,327.0,330.0
167466176.0,329.0,327.0
167467832.0,324.0,324.0
167469488.0,318.0,322.0
167471144.0,313.0,322.0
167472800.0,312.0,323.0
167474456.0,322.0,324.0
167476112.0,322.0,326.0
167477772.0,325.0,329.0
167479428.0,329.0,330.0
167481084.0,331.0,331.0
167482740.0,335.0,332.0
167484396.0,329.0,329.0
167486052.0,326.0,328.0
167487712.0,321.0,325.0
167489364.0,325.0,323.0
167491024.0,325.0,323.0
167492680.0,324.0,323.0
167494336.0,324.0,324.0
167495992.0,323.0,326.0
167497648.0,324.0,329.0
167499304.0,323.0,331.0
167500960.0,326.0,332.0
167502620.0,327.0,332.0
167504276.0,327.0,331.0
167505940.0,323.0,327.0
167507588.0,324.0,325.0
167509244.0,325.0,324.0
167510904.0,322.0,324.0
167512560.0,323.0,323.0
167514216.0,323.0,325.0
167515872.0,324.0,327.0
167517528.0,325.0,329.0
167519184.0,324.0,331.0
167520840.0,326.0,332.0
167522496.0,329.0,331.0
167524156.0,332.0,330.0
167525812.0,330.0,326.0
167527468.0,327.0,325.0
167529124.0,325.0,322.0
167530780.0,322.0,323.0
167532436.0,322.0,323.0
167534092.0,315.0,323.0
167535752.0,317.0,325.0
167537404.0,324.0,329.0
167539064.0,322.0,332.0
167540720.0,327.0,331.0
167542376.0,331.0,331.0
167544032.0,329.0,330.0
167545688.0,334.0,328.0
167547344.0,327.0,325.0
167549004.0,323.0,324.0
167550660.0,320.0,321.0
167552316.0,321.0,321.0
167553972.0,322.0,324.0
167555628.0,323.0,327.0
167557284.0,325.0,328.0
167558944.0,325.0,329.0
167560600.0,327.0,331.0
167562264.0,326.0,332.0
167563912.0,328.0,329.0
167565568.0,326.0,329.0
167567224.0,326.0,325.0
167568880.0,327.0,324.0
167570536.0,323.0,324.0
167572196.0,322.0,324.0
167573852.0,323.0,324.0
167575508.0,322.0,326.0
167577164.0,324.0,328.0
167578820.0,325.0,331.0
167580476.0,327.0,331.0
167582136.0,329.0,332.0
167583788.0,327.0,330.0
167585448.0,328.0,330.0
167587104.0,327.0,327.0
167588760.0,326.0,325.0
167590416.0,323.0,324.0
167592072.0,319.0,323.0
167593732.0,321.0,323.0
167595388.0,319.0,326.0
167597044.0,326.0,327.0
167598700.0,328.0,329.0
167600356.0,324.0,331.0
167602012.0,325.0,331.0
167603668.0,323.0,331.0
167605324.0,324.0,330.0
167606984.0,323.0,327.0
167608640.0,329.0,325.0
167610296.0,326.0,322.0
167611952.0,323.0,323.0
167613608.0,322.0,323.0
167615264.0,320.0,325.0
167616920.0,319.0,327.0
167618588.0,327.0,330.0
167620232.0,328.0,332.0
167621892.0,333.0,332.0
167623548.0,333.0,332.0
167625204.0,329.0,330.0
167626860.0,325.0,326.0
167628516.0,321.0,325.0
167630176.0,317.0,323.0
167631832.0,323.0,322.0
167633488.0,323.0,322.0
167635144.0,324.0,325.0
167636800.0,322.0,327.0
167638456.0,323.0,330.0
167640112.0,325.0,332.0
167641768.0,326.0,332.0
167643428.0,328.0,332.0
167645084.0,329.0,329.0
167646740.0,328.0,328.0
167648396.0,328.0,324.0
167650052.0,324.0,322.0
167651708.0,320.0,323.0
167653368.0,321.0,323.0
167655024.0,324.0,324.0
167656680.0,325.0,326.0
167658336.0,323.0,328.0
167659992.0,321.0,330.0
167661648.0,328.0,331.0
167663304.0,330.0,332.0
167664964.0,328.0,330.0
167666616.0,326.0,329.0
167668276.0,325.0,326.0
167669932.0,323.0,324.0
167671588.0,320.0,323.0
167673244.0,322.0,322.0
167674908.0,322.0,323.0
167676560.0,324.0,325.0
167678216.0,325.0,327.0
167679872.0,328.0,331.0
167681528.0,321.0,331.0
167683184.0,326.0,332.0
167684840.0,324.0,329.0
167686496.0,327.0,329.0
167688152.0,328.0,327.0
167689808.0,326.0,325.0
167691468.0,325.0,324.0
167693124.0,326.0,322.0
167694780.0,325.0,324.0
167696436.0,322.0,326.0
167698092.0,320.0,328.0
167699752.0,324.0,331.0
167701404.0,326.0,331.0
167703064.0,329.0,331.0
167704720.0,327.0,331.0
167706376.0,326.0,329.0
167708032.0,325.0,326.0
167709688.0,324.0,324.0
167711348.0,325.0,322.0
167713004.0,327.0,322.0
167714660.0,325.0,323.0
167716316.0,324.0,327.0
167717972.0,317.0,327.0
167719628.0,316.0,330.0
167721284.0,326.0,332.0
167722940.0,330.0,332.0
167724596.0,331.0,330.0
167726252.0,330.0,329.0
167727912.0,331.0,327.0
167729568.0,328.0,326.0
167731228.0,323.0,324.0
167732880.0,319.0,322.0
167734536.0,317.0,324.0
167736196.0,318.0,325.0
167737852.0,323.0,327.0
167739508.0,327.0,330.0
167741164.0,328.0,332.0
167742820.0,327.0,330.0
167744476.0,324.0,331.0
167746132.0,324.0,329.0
167747792.0,327.0,327.0
167749444.0,324.0,325.0
167751104.0,324.0,323.0
167752760.0,328.0,323.0
167754416.0,326.0,323.0
167756072.0,326.0,326.0
167757728.0,319.0,327.0
167759384.0,319.0,329.0
167761044.0,322.0,332.0
167762700.0,326.0,331.0
167764356.0,331.0,332.0
167766012.0,329.0,328.0
167767668.0,327.0,328.0
167769324.0,327.0,325.0
167770980.0,325.0,322.0
167772640.0,325.0,324.0
167774296.0,316.0,322.0
167775952.0,320.0,326.0
167777608.0,320.0,327.0
167779264.0,321.0,329.0
167780920.0,327.0,330.0
167782580.0,331.0,331.0
167784236.0,329.0,331.0
167785892.0,326.0,330.0
167787548.0,324.0,328.0
167789204.0,325.0,324.0
167790860.0,325.0,322.0
167792516.0,324.0,322.0
167794172.0,326.0,323.0
167795828.0,322.0,324.0
167797484.0,325.0,327.0
167799144.0,325.0,329.0
167800800.0,323.0,331.0
167802456.0,323.0,331.0
167804112.0,323.0,331.0
167805768.0,327.0,329.0
167807428.0,326.0,327.0
167809084.0,329.0,326.0
167810740.0,328.0,324.0
167812396.0,324.0,322.0
167814052.0,323.0,322.0
167815708.0,320.0,323.0
167817364.0,324.0,326.0
167819024.0,324.0,329.0
167820676.0,322.0,331.0
167822344.0,324.0,332.0
167823992.0,327.0,332.0
167825648.0,327.0,329.0
167827304.0,328.0,328.0
167828960.0,326.0,325.0
167830620.0,324.0,322.0
167832276.0,324.0,322.0
167833932.0,323.0,322.0
167835588.0,323.0,324.0
167837244.0,321.0,326.0
167838900.0,324.0,328.0
167840556.0,332.0,332.0
167842212.0,329.0,333.0
167843872.0,324.0,331.0
167845528.0,327.0,330.0
167847184.0,324.0,328.0
167848840.0,324.0,327.0
167850496.0,326.0,325.0
167852152.0,322.0,324.0
167853812.0,321.0,324.0
167855464.0,322.0,324.0
167857124.0,325.0,325.0
167858780.0,324.0,327.0
167860436.0,326.0,329.0
167862092.0,326.0,332.0
167863748.0,328.0,331.0
167865408.0,324.0,329.0
167867064.0,324.0,328.0
167868720.0,328.0,326.0
167870376.0,327.0,325.0
167872032.0,325.0,323.0
167873688.0,322.0,322.0
167875344.0,320.0,324.0
167877000.0,320.0,325.0
167878668.0,323.0,327.0
167880316.0,328.0,330.0
167881972.0,331.0,332.0
167883628.0,330.0,332.0
167885284.0,329.0,331.0
167886940.0,326.0,329.0
167888600.0,327.0,328.0
167890256.0,325.0,325.0
167891912.0,317.0,322.0
167893568.0,317.0,322.0
167895224.0,318.0,323.0
167896880.0,321.0,326.0
167898536.0,325.0,327.0
167900192.0,328.0,331.0
167901848.0,330.0,332.0
167903504.0,330.0,332.0
167905164.0,329.0,332.0
167906820.0,324.0,329.0
167908476.0,326.0,327.0
167910132.0,323.0,324.0
167911788.0,320.0,323.0
167913444.0,323.0,323.0
167915100.0,321.0,323.0
167916760.0,322.0,325.0
167918416.0,324.0,327.0
