timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2)
199231808.0,392.0,324.0
199233464.0,354.0,323.0
199235120.0,258.0,324.0
199236776.0,307.0,324.0
199238432.0,332.0,326.0
199240088.0,324.0,331.0
199241756.0,297.0,332.0
199243404.0,327.0,332.0
199245060.0,339.0,331.0
199246716.0,354.0,328.0
199248372.0,278.0,326.0
199250028.0,371.0,327.0
199251684.0,353.0,324.0
199253340.0,280.0,324.0
199255000.0,319.0,326.0
199256656.0,341.0,324.0
199258312.0,362.0,323.0
199259968.0,354.0,325.0
199261624.0,277.0,329.0
199263280.0,293.0,332.0
199264940.0,317.0,332.0
199266596.0,319.0,330.0
199268252.0,356.0,328.0
199269908.0,350.0,325.0
199271564.0,334.0,325.0
199273220.0,296.0,323.0
199274876.0,311.0,323.0
199276536.0,333.0,325.0
199278192.0,359.0,326.0
199279848.0,284.0,327.0
199281504.0,308.0,329.0
199283160.0,354.0,331.0
199284816.0,368.0,332.0
199286472.0,297.0,329.0
199288128.0,278.0,331.0
199289788.0,318.0,325.0
199291444.0,337.0,325.0
199293100.0,344.0,323.0
199294756.0,317.0,323.0
199296412.0,303.0,325.0
199298076.0,333.0,326.0
199299728.0,339.0,330.0
199301384.0,307.0,331.0
199303040.0,337.0,333.0
199304696.0,360.0,330.0
199306352.0,312.0,328.0
199308008.0,340.0,329.0
199309664.0,351.0,328.0
199311320.0,295.0,322.0
199312976.0,251.0,321.0
199314636.0,347.0,322.0
199316292.0,301.0,323.0
199317948.0,328.0,328.0
199319604.0,336.0,330.0
199321260.0,341.0,331.0
199322916.0,318.0,331.0
199324576.0,357.0,331.0
199326232.0,331.0,330.0
199327888.0,354.0,329.0
199329544.0,361.0,326.0
199331200.0,321.0,324.0
199332856.0,275.0,321.0
199334512.0,385.0,322.0
199336168.0,329.0,325.0
199337828.0,226.0,325.0
199339484.0,315.0,328.0
199341140.0,318.0,331.0
199342796.0,308.0,332.0
199344452.0,345.0,332.0
199346108.0,341.0,330.0
199347764.0,327.0,329.0
199349424.0,351.0,327.0
199351080.0,319.0,325.0
199352736.0,305.0,322.0
199354396.0,326.0,323.0
199356048.0,323.0,325.0
199357704.0,363.0,326.0
199359364.0,370.0,327.0
199361020.0,306.0,330.0
199362676.0,273.0,330.0
199364332.0,340.0,328.0
199365988.0,352.0,332.0
199367644.0,332.0,328.0
199369300.0,248.0,327.0
199370956.0,337.0,325.0
199372616.0,338.0,324.0
199374272.0,334.0,325.0
199375928.0,311.0,326.0
199377584.0,348.0,326.0
199379240.0,297.0,326.0
199380896.0,326.0,330.0
199382556.0,339.0,330.0
199384212.0,325.0,330.0
199385868.0,286.0,331.0
199387524.0,306.0,328.0
199389180.0,334.0,327.0
199390836.0,327.0,326.0
199392492.0,381.0,326.0
199394152.0,325.0,320.0
199395808.0,302.0,324.0
199397464.0,310.0,326.0
199399120.0,315.0,326.0
199400776.0,337.0,330.0
199402432.0,330.0,331.0
199404088.0,318.0,331.0
199405748.0,299.0,331.0
199407400.0,327.0,329.0
199409056.0,327.0,328.0
199410716.0,323.0,325.0
199412372.0,340.0,325.0
199414028.0,346.0,324.0
199415684.0,333.0,325.0
199417340.0,325.0,325.0
199419000.0,347.0,329.0
199420656.0,322.0,328.0
199422312.0,293.0,327.0
199423968.0,354.0,331.0
199425624.0,347.0,331.0
199427280.0,308.0,329.0
199428936.0,298.0,327.0
199430592.0,346.0,326.0
199432252.0,286.0,324.0
199433908.0,314.0,324.0
199435564.0,318.0,324.0
199437220.0,340.0,326.0
199438876.0,324.0,326.0
199440532.0,315.0,330.0
199442192.0,323.0,330.0
199443848.0,335.0,332.0
199445504.0,356.0,330.0
199447160.0,339.0,328.0
199448816.0,306.0,328.0
199450472.0,340.0,325.0
199452128.0,334.0,326.0
199453788.0,281.0,327.0
199455444.0,345.0,327.0
199457100.0,336.0,321.0
199458756.0,282.0,323.0
199460412.0,319.0,326.0
199462068.0,370.0,331.0
199463724.0,370.0,331.0
199465380.0,315.0,331.0
199467036.0,360.0,331.0
199468696.0,287.0,327.0
199470352.0,295.0,328.0
199472008.0,289.0,326.0
199473664.0,338.0,325.0
199475320.0,375.0,324.0
199476976.0,276.0,322.0
199478636.0,320.0,324.0
199480292.0,330.0,328.0
199481948.0,316.0,330.0
199483604.0,368.0,333.0
199485260.0,353.0,330.0
199486916.0,290.0,331.0
199488572.0,292.0,327.0
199490228.0,303.0,326.0
199491888.0,311.0,326.0
199493544.0,313.0,324.0
199495200.0,338.0,322.0
199496856.0,347.0,325.0
199498512.0,286.0,327.0
199500168.0,333.0,329.0
199501832.0,353.0,331.0
199503484.0,376.0,330.0
199505140.0,346.0,328.0
199506796.0,245.0,330.0
199508452.0,315.0,328.0
199510108.0,349.0,328.0
199511764.0,350.0,326.0
199513420.0,308.0,325.0
199515080.0,333.0,325.0
199516736.0,344.0,323.0
199518392.0,287.0,321.0
199520048.0,329.0,326.0
199521704.0,324.0,328.0
199523360.0,326.0,332.0
199525020.0,336.0,333.0
199526672.0,345.0,331.0
199528332.0,357.0,330.0
199529988.0,244.0,327.0
199531644.0,321.0,324.0
199533300.0,281.0,325.0
199534956.0,328.0,323.0
199536612.0,353.0,324.0
199538268.0,357.0,327.0
199539928.0,321.0,327.0
199541584.0,305.0,329.0
199543240.0,318.0,330.0
199544896.0,332.0,332.0
199546552.0,314.0,331.0
199548208.0,329.0,329.0
199549868.0,391.0,328.0
199551524.0,411.0,327.0
199553180.0,259.0,325.0
199554836.0,212.0,323.0
199556492.0,343.0,323.0
199558156.0,348.0,322.0
