timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2)
227588668.0,319.0,136.0
227590324.0,328.0,507.0
227591984.0,323.0,369.0
227593640.0,331.0,129.0
227595296.0,324.0,287.0
227596952.0,322.0,349.0
227598608.0,337.0,333.0
227600264.0,324.0,208.0
227601920.0,322.0,298.0
227603576.0,324.0,432.0
227605236.0,328.0,475.0
227606892.0,313.0,281.0
227608548.0,323.0,312.0
227610204.0,331.0,415.0
227611860.0,326.0,436.0
227613516.0,329.0,414.0
227615172.0,329.0,347.0
227616832.0,325.0,286.0
227618488.0,331.0,151.0
227620144.0,328.0,55.0
227621712.0,314.0,298.0
227623368.0,319.0,603.0
227625028.0,319.0,538.0
227626684.0,320.0,250.0
227628340.0,324.0,295.0
227629996.0,320.0,277.0
227631652.0,331.0,259.0
227633308.0,335.0,309.0
227634968.0,331.0,214.0
227636624.0,330.0,230.0
227638288.0,327.0,449.0
227639936.0,318.0,489.0
227641592.0,324.0,388.0
227643248.0,326.0,287.0
227644904.0,324.0,410.0
227646560.0,313.0,330.0
227648216.0,322.0,257.0
227649876.0,323.0,254.0
227651532.0,334.0,254.0
227653188.0,336.0,349.0
227654844.0,329.0,424.0
227656500.0,315.0,413.0
227658160.0,329.0,234.0
227659812.0,325.0,247.0
227661472.0,320.0,318.0
227663128.0,318.0,214.0
227664784.0,322.0,465.0
227666440.0,332.0,416.0
227668096.0,322.0,336.0
227669752.0,327.0,77.0
227671324.0,331.0,274.0
227672980.0,327.0,458.0
227674636.0,328.0,443.0
227676292.0,328.0,418.0
227677948.0,325.0,231.0
227679604.0,318.0,391.0
227681260.0,327.0,453.0
227682920.0,324.0,284.0
227684576.0,313.0,200.0
227686232.0,325.0,266.0
227687888.0,328.0,398.0
227689544.0,326.0,315.0
227691200.0,320.0,200.0
227692856.0,319.0,229.0
227694516.0,334.0,389.0
227696172.0,334.0,361.0
227697828.0,335.0,427.0
227699484.0,321.0,146.0
227701140.0,318.0,171.0
227702808.0,328.0,500.0
227704456.0,316.0,544.0
227706108.0,324.0,482.0
227707768.0,319.0,255.0
227709424.0,325.0,281.0
227711080.0,329.0,330.0
227712736.0,330.0,273.0
227714392.0,329.0,340.0
227716052.0,330.0,331.0
227717708.0,329.0,311.0
227719364.0,315.0,300.0
227721020.0,324.0,533.0
227722676.0,322.0,495.0
227724332.0,317.0,248.0
227725988.0,318.0,0.0
227727472.0,327.0,266.0
227729128.0,331.0,441.0
227730784.0,338.0,271.0
227732440.0,324.0,191.0
227734096.0,329.0,418.0
227735756.0,326.0,259.0
227737412.0,324.0,321.0
227739068.0,323.0,475.0
227740724.0,322.0,380.0
227742380.0,325.0,315.0
227744036.0,329.0,425.0
227745696.0,316.0,395.0
227747352.0,315.0,193.0
227749008.0,327.0,196.0
227750664.0,332.0,334.0
227752320.0,322.0,325.0
227753976.0,330.0,354.0
227755632.0,333.0,443.0
