timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2)
276240864.0,650.0,653.0
276242520.0,651.0,653.0
276244176.0,344.0,399.0
276245832.0,1.0,1.0
276247140.0,0.0,1.0
276248448.0,0.0,0.0
276249756.0,0.0,0.0
276251064.0,2.0,1.0
276252372.0,0.0,1.0
276253680.0,103.0,103.0
276255336.0,649.0,653.0
276256992.0,650.0,652.0
276258652.0,649.0,652.0
276260308.0,651.0,653.0
276261964.0,650.0,653.0
276263620.0,575.0,612.0
276265276.0,6.0,40.0
276266672.0,1.0,1.0
276267980.0,0.0,0.0
276269284.0,0.0,0.0
276270596.0,1.0,1.0
276271900.0,1.0,1.0
276273208.0,1.0,0.0
276274520.0,348.0,362.0
276276176.0,650.0,653.0
276277832.0,650.0,651.0
276279488.0,650.0,651.0
276281144.0,650.0,653.0
276282800.0,650.0,651.0
276284456.0,346.0,397.0
276286116.0,1.0,0.0
276287424.0,0.0,1.0
276288732.0,1.0,1.0
276290036.0,0.0,0.0
276291344.0,0.0,0.0
276292652.0,0.0,1.0
276293960.0,114.0,85.0
276295528.0,650.0,654.0
276297184.0,650.0,652.0
276298844.0,650.0,653.0
276300500.0,650.0,652.0
276302156.0,650.0,653.0
276303812.0,598.0,653.0
276305468.0,5.0,64.0
276306864.0,1.0,0.0
276308172.0,1.0,0.0
276309480.0,0.0,1.0
276310788.0,0.0,0.0
276312096.0,0.0,0.0
276313404.0,0.0,0.0
276314712.0,317.0,342.0
276316368.0,650.0,653.0
276318024.0,651.0,651.0
276319680.0,650.0,653.0
276321336.0,650.0,653.0
276322992.0,651.0,651.0
276324652.0,366.0,411.0
276326308.0,1.0,1.0
276327616.0,1.0,1.0
276328924.0,1.0,1.0
276330228.0,0.0,1.0
276331548.0,0.0,1.0
276332844.0,0.0,1.0
276334156.0,94.0,67.0
276335644.0,646.0,652.0
276337292.0,648.0,650.0
276338948.0,650.0,651.0
276340604.0,650.0,653.0
276342264.0,650.0,653.0
276343920.0,651.0,653.0
276345576.0,39.0,121.0
276347144.0,1.0,0.0
276348452.0,1.0,1.0
276349760.0,1.0,0.0
276351068.0,0.0,0.0
276352376.0,0.0,1.0
276353684.0,1.0,0.0
276354992.0,366.0,343.0
276356648.0,649.0,653.0
276358304.0,650.0,653.0
276359960.0,650.0,653.0
276361616.0,651.0,653.0
276363284.0,651.0,653.0
276364932.0,348.0,405.0
276366588.0,0.0,1.0
276367896.0,1.0,0.0
276369204.0,1.0,0.0
276370512.0,0.0,1.0
276371820.0,0.0,0.0
276373128.0,1.0,1.0
276374436.0,94.0,95.0
276375916.0,648.0,653.0
276377576.0,651.0,652.0
276379228.0,650.0,653.0
276380884.0,651.0,652.0
276382544.0,650.0,652.0
276384200.0,631.0,653.0
276385856.0,26.0,106.0
276387424.0,0.0,1.0
276388732.0,0.0,0.0
276390040.0,1.0,0.0
276391348.0,1.0,0.0
276392656.0,0.0,1.0
276393964.0,1.0,0.0
276395272.0,372.0,361.0
276396928.0,649.0,652.0
276398584.0,650.0,650.0
276400240.0,650.0,652.0
276401900.0,649.0,652.0
276403556.0,650.0,652.0
276405212.0,331.0,394.0
276406868.0,1.0,0.0
276408176.0,0.0,1.0
276409484.0,0.0,0.0
276410792.0,0.0,1.0
276412100.0,0.0,0.0
276413408.0,1.0,1.0
276414716.0,124.0,87.0
276416284.0,648.0,652.0
276417940.0,649.0,652.0
276419608.0,651.0,652.0
276421256.0,650.0,651.0
276422912.0,651.0,653.0
276424568.0,588.0,637.0
276426224.0,5.0,59.0
276427620.0,1.0,1.0
276428928.0,0.0,0.0
276430232.0,0.0,0.0
276431544.0,1.0,0.0
