timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2)
709961272.0,330.0,326.0
709962928.0,329.0,328.0
709964584.0,331.0,329.0
709966244.0,326.0,327.0
709967900.0,325.0,327.0
709969556.0,321.0,329.0
709971212.0,320.0,326.0
709972868.0,321.0,326.0
709974524.0,326.0,326.0
709976180.0,326.0,326.0
709977840.0,325.0,328.0
709979496.0,327.0,326.0
709981152.0,328.0,329.0
709982808.0,330.0,329.0
709984464.0,329.0,329.0
709986120.0,328.0,326.0
709987776.0,327.0,327.0
709989436.0,324.0,325.0
709991092.0,323.0,326.0
709992748.0,323.0,325.0
709994404.0,323.0,325.0
709996060.0,325.0,327.0
709997716.0,327.0,327.0
709999376.0,328.0,327.0
710001028.0,330.0,328.0
710002688.0,330.0,328.0
710004344.0,329.0,329.0
710006000.0,328.0,329.0
710007656.0,325.0,328.0
710009312.0,325.0,328.0
710010968.0,324.0,326.0
710012624.0,323.0,326.0
710014284.0,324.0,326.0
710015940.0,324.0,326.0
710017596.0,325.0,327.0
710019252.0,326.0,327.0
710020908.0,327.0,328.0
710022564.0,328.0,328.0
710024220.0,328.0,329.0
710025880.0,326.0,326.0
710027536.0,325.0,329.0
710029192.0,325.0,326.0
710030848.0,322.0,327.0
710032504.0,322.0,327.0
710034160.0,320.0,326.0
710035816.0,324.0,325.0
710037472.0,327.0,326.0
710039132.0,327.0,327.0
710040788.0,327.0,329.0
710042444.0,327.0,328.0
710044100.0,325.0,329.0
710045756.0,325.0,329.0
710047416.0,327.0,326.0
710049072.0,327.0,327.0
710050728.0,322.0,326.0
710052384.0,320.0,327.0
710054040.0,322.0,325.0
710055696.0,328.0,326.0
710057352.0,325.0,327.0
710059016.0,326.0,328.0
710060668.0,329.0,326.0
710062324.0,331.0,326.0
710063980.0,331.0,330.0
710065636.0,331.0,329.0
710067292.0,328.0,328.0
710068948.0,326.0,327.0
710070604.0,323.0,326.0
710072264.0,322.0,326.0
710073916.0,326.0,326.0
710075576.0,326.0,325.0
710077232.0,327.0,326.0
710078888.0,328.0,328.0
710080544.0,330.0,327.0
710082204.0,330.0,329.0
710083856.0,330.0,329.0
710085516.0,331.0,329.0
710087172.0,330.0,328.0
710088828.0,329.0,326.0
710090484.0,327.0,327.0
710092140.0,325.0,326.0
710093796.0,324.0,324.0
