timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2)
1165108184.0,396.0,328.0
1165109928.0,304.0,330.0
1165111672.0,259.0,324.0
1165113416.0,218.0,325.0
1165115160.0,382.0,326.0
1165116904.0,308.0,328.0
1165118648.0,321.0,326.0
1165120392.0,320.0,329.0
1165122136.0,295.0,329.0
1165123880.0,360.0,328.0
1165125620.0,344.0,330.0
1165127364.0,327.0,329.0
1165129108.0,338.0,328.0
1165130852.0,368.0,328.0
1165132596.0,326.0,327.0
1165134340.0,284.0,324.0
1165136084.0,282.0,327.0
1165137828.0,321.0,327.0
1165139572.0,357.0,327.0
1165141316.0,322.0,327.0
1165143068.0,309.0,328.0
1165144804.0,353.0,329.0
1165146548.0,380.0,328.0
1165148288.0,311.0,329.0
1165150036.0,259.0,331.0
1165151780.0,314.0,325.0
1165153524.0,331.0,324.0
1165155264.0,372.0,329.0
1165157008.0,378.0,328.0
1165158752.0,260.0,327.0
1165160496.0,290.0,328.0
1165162240.0,345.0,324.0
1165163984.0,283.0,328.0
1165165728.0,343.0,327.0
1165167472.0,375.0,327.0
1165169216.0,288.0,328.0
1165170960.0,320.0,329.0
1165172704.0,363.0,328.0
1165174448.0,311.0,327.0
1165176192.0,311.0,328.0
1165177932.0,299.0,326.0
1165179676.0,324.0,327.0
1165181424.0,340.0,328.0
1165183168.0,342.0,328.0
1165184908.0,330.0,328.0
1165186652.0,349.0,328.0
1165188396.0,323.0,329.0
1165190140.0,330.0,331.0
1165191884.0,309.0,329.0
1165193628.0,338.0,327.0
1165195372.0,325.0,324.0
1165197116.0,352.0,328.0
1165198860.0,293.0,328.0
1165200604.0,296.0,329.0
1165202348.0,293.0,330.0
1165204092.0,366.0,326.0
1165205836.0,437.0,329.0
1165207580.0,328.0,328.0
1165209320.0,242.0,327.0
1165211068.0,291.0,328.0
1165212808.0,245.0,324.0
1165214552.0,395.0,327.0
1165216296.0,372.0,327.0
1165218040.0,234.0,325.0
1165219784.0,313.0,327.0
1165221528.0,332.0,328.0
1165223272.0,359.0,327.0
1165225016.0,342.0,328.0
1165226760.0,325.0,328.0
1165228504.0,329.0,326.0
1165230248.0,346.0,327.0
1165231992.0,322.0,327.0
1165233736.0,355.0,327.0
1165235480.0,275.0,328.0
1165237220.0,320.0,328.0
1165238964.0,316.0,327.0
1165240708.0,320.0,327.0
1165242452.0,335.0,328.0
1165244196.0,334.0,328.0
1165245940.0,315.0,329.0
1165247684.0,323.0,328.0
1165249428.0,326.0,326.0
1165251172.0,333.0,329.0
1165252916.0,323.0,328.0
1165254668.0,346.0,327.0
1165256404.0,308.0,327.0
1165258148.0,336.0,328.0
1165259892.0,367.0,329.0
1165261636.0,264.0,328.0
1165263380.0,279.0,328.0
1165265124.0,339.0,326.0
1165266864.0,341.0,326.0
1165268608.0,418.0,329.0
1165270352.0,292.0,328.0
1165272096.0,229.0,327.0
1165273840.0,366.0,328.0
1165275584.0,306.0,327.0
1165277328.0,344.0,326.0
1165279072.0,287.0,328.0
1165280816.0,327.0,328.0
1165282560.0,350.0,328.0
1165284304.0,332.0,327.0
1165286048.0,338.0,329.0
1165287788.0,347.0,328.0
1165289532.0,379.0,327.0
1165291276.0,292.0,327.0
1165293024.0,301.0,325.0
1165294764.0,285.0,328.0
1165296508.0,314.0,328.0
1165298252.0,349.0,326.0
1165299996.0,326.0,329.0
1165301740.0,337.0,328.0
1165303484.0,307.0,329.0
1165305228.0,340.0,329.0
1165306972.0,293.0,329.0
1165308716.0,326.0,327.0
1165310460.0,344.0,328.0
1165312204.0,326.0,328.0
1165313948.0,320.0,330.0
1165315692.0,306.0,329.0
1165317436.0,328.0,330.0
1165319184.0,355.0,329.0
1165320924.0,424.0,330.0
1165322664.0,303.0,327.0
1165324408.0,196.0,325.0
1165326152.0,300.0,327.0
1165327896.0,399.0,328.0
1165329640.0,370.0,330.0
1165331384.0,243.0,327.0
1165333128.0,297.0,330.0
1165334872.0,349.0,328.0
1165336616.0,315.0,328.0
1165338360.0,338.0,328.0
1165340104.0,330.0,327.0
1165341848.0,345.0,328.0
1165343592.0,383.0,328.0
1165345336.0,283.0,328.0
1165347080.0,280.0,331.0
1165348820.0,301.0,330.0
1165350568.0,357.0,327.0
1165352308.0,338.0,328.0
1165354052.0,326.0,328.0
1165355796.0,338.0,326.0
1165357540.0,337.0,326.0
1165359284.0,322.0,329.0
1165361028.0,316.0,329.0
1165362772.0,295.0,327.0
1165364516.0,320.0,328.0
1165366260.0,330.0,329.0
1165368004.0,339.0,329.0
1165369748.0,377.0,329.0
1165371492.0,327.0,326.0
1165373236.0,272.0,327.0
1165374980.0,257.0,326.0
1165376724.0,332.0,327.0
1165378464.0,376.0,328.0
1165380208.0,274.0,328.0
1165381952.0,330.0,326.0
1165383704.0,379.0,328.0
1165385440.0,326.0,327.0
1165387184.0,303.0,326.0
1165388928.0,312.0,329.0
1165390672.0,332.0,329.0
1165392416.0,328.0,330.0
1165394160.0,377.0,328.0
1165395904.0,266.0,328.0
1165397648.0,253.0,328.0
1165399392.0,321.0,324.0
1165401132.0,364.0,327.0
1165402880.0,339.0,325.0
1165404624.0,341.0,328.0
1165406364.0,328.0,328.0
1165408108.0,328.0,327.0
1165409852.0,414.0,329.0
1165411596.0,317.0,325.0
1165413340.0,220.0,329.0
1165415084.0,275.0,327.0
1165416828.0,372.0,325.0
1165418572.0,323.0,322.0
1165420316.0,339.0,328.0
1165422060.0,340.0,330.0
1165423804.0,342.0,329.0
1165425548.0,286.0,329.0
1165427292.0,343.0,329.0
1165429036.0,338.0,328.0
1165430780.0,261.0,327.0
1165432524.0,339.0,326.0
1165434264.0,338.0,325.0
1165436008.0,318.0,326.0
1165437752.0,324.0,328.0
1165439496.0,332.0,328.0
1165441240.0,318.0,327.0
1165442984.0,386.0,327.0
1165444728.0,292.0,324.0
1165446472.0,260.0,327.0
1165448220.0,344.0,328.0
1165449960.0,333.0,328.0
1165451704.0,380.0,329.0
1165453448.0,310.0,328.0
1165455192.0,276.0,328.0
1165456936.0,343.0,329.0
1165458680.0,300.0,330.0
1165460420.0,379.0,326.0
1165462164.0,343.0,325.0
1165463908.0,273.0,328.0
1165465652.0,289.0,330.0
1165467396.0,331.0,327.0
1165469140.0,360.0,324.0
1165470884.0,366.0,328.0
1165472628.0,286.0,329.0
1165474372.0,393.0,328.0
1165476116.0,351.0,327.0
1165477860.0,157.0,321.0
1165479604.0,354.0,320.0
1165481348.0,341.0,326.0
1165483088.0,314.0,328.0
1165484836.0,395.0,331.0
1165486576.0,361.0,326.0
1165488324.0,215.0,328.0
1165490064.0,299.0,332.0
1165491808.0,503.0,332.0
1165493552.0,423.0,324.0
1165495304.0,169.0,323.0
1165497040.0,337.0,328.0
1165498784.0,176.0,327.0
1165500528.0,351.0,329.0
1165502272.0,351.0,330.0
1165504016.0,402.0,329.0
1165505760.0,268.0,322.0
1165507504.0,269.0,329.0
1165509248.0,388.0,327.0
1165510992.0,356.0,328.0
1165512732.0,336.0,328.0
1165514476.0,284.0,329.0
1165516224.0,348.0,329.0
1165517964.0,338.0,327.0
1165519708.0,394.0,327.0
1165521452.0,260.0,327.0
1165523196.0,363.0,328.0
1165524940.0,356.0,327.0
1165526684.0,246.0,325.0
1165528428.0,236.0,327.0
1165530172.0,286.0,329.0
1165531916.0,388.0,329.0
1165533660.0,357.0,329.0
1165535404.0,327.0,327.0
1165537148.0,381.0,330.0
