timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2)
812614876.0,325.0,318.0
812616532.0,326.0,299.0
812618188.0,324.0,322.0
812619848.0,320.0,331.0
812621504.0,325.0,329.0
812623160.0,323.0,325.0
812624816.0,328.0,327.0
812626472.0,319.0,316.0
812628128.0,331.0,323.0
812629784.0,331.0,337.0
812631440.0,325.0,318.0
812633104.0,322.0,332.0
812634756.0,327.0,333.0
812636412.0,329.0,331.0
812638068.0,322.0,302.0
812639724.0,318.0,340.0
812641380.0,323.0,368.0
812643036.0,320.0,337.0
812644696.0,327.0,309.0
812646352.0,329.0,249.0
812648008.0,329.0,340.0
812649664.0,329.0,406.0
812651320.0,326.0,356.0
812652976.0,327.0,361.0
812654636.0,324.0,308.0
812656288.0,323.0,283.0
812657948.0,324.0,320.0
812659604.0,322.0,306.0
812661260.0,323.0,288.0
812662916.0,325.0,332.0
812664572.0,322.0,302.0
812666228.0,324.0,361.0
812667888.0,330.0,362.0
812669544.0,327.0,368.0
812671200.0,330.0,321.0
812672856.0,328.0,313.0
812674512.0,327.0,316.0
812676168.0,324.0,319.0
812677824.0,322.0,322.0
812679480.0,321.0,324.0
812681140.0,323.0,317.0
812682796.0,322.0,318.0
812684452.0,324.0,309.0
812686108.0,324.0,340.0
812687764.0,328.0,330.0
812689428.0,326.0,323.0
812691076.0,325.0,302.0
812692736.0,327.0,332.0
812694392.0,317.0,323.0
812696048.0,322.0,338.0
812697704.0,326.0,369.0
812699360.0,324.0,325.0
812701016.0,327.0,314.0
812702676.0,326.0,351.0
812704328.0,327.0,346.0
812705988.0,330.0,312.0
812707644.0,328.0,306.0
812709300.0,331.0,323.0
812710956.0,323.0,343.0
812712612.0,320.0,296.0
812714272.0,327.0,337.0
812715928.0,324.0,341.0
812717584.0,319.0,325.0
812719240.0,323.0,317.0
812720896.0,326.0,325.0
812722552.0,325.0,345.0
812724208.0,326.0,335.0
812725864.0,323.0,293.0
812727520.0,327.0,365.0
812729176.0,328.0,346.0
812730836.0,330.0,291.0
812732492.0,325.0,295.0
812734148.0,325.0,328.0
812735804.0,325.0,332.0
812737460.0,325.0,332.0
812739116.0,318.0,329.0
812740776.0,321.0,316.0
812742432.0,325.0,332.0
812744088.0,322.0,335.0
812745752.0,325.0,292.0
812747400.0,329.0,275.0
812749056.0,325.0,318.0
812750712.0,328.0,376.0
812752372.0,323.0,387.0
812754028.0,327.0,373.0
812755684.0,324.0,320.0
812757340.0,322.0,306.0
812758996.0,323.0,292.0
812760652.0,328.0,324.0
812762312.0,326.0,366.0
812763968.0,324.0,350.0
812765624.0,330.0,340.0
812767280.0,325.0,316.0
812768936.0,323.0,305.0
812770592.0,325.0,314.0
812772252.0,328.0,341.0
812773904.0,327.0,337.0
812775564.0,324.0,298.0
812777220.0,324.0,301.0
812778876.0,322.0,335.0
812780532.0,323.0,353.0
812782188.0,322.0,342.0
812783844.0,322.0,287.0
812785504.0,325.0,312.0
812787156.0,329.0,342.0
812788816.0,327.0,324.0
812790472.0,322.0,321.0
812792128.0,325.0,336.0
812793784.0,330.0,316.0
812795440.0,322.0,344.0
812797096.0,323.0,362.0
812798756.0,318.0,332.0
812800412.0,322.0,256.0
812802076.0,326.0,248.0
812803724.0,325.0,353.0
812805380.0,324.0,427.0
812807036.0,328.0,372.0
812808692.0,327.0,346.0
812810348.0,327.0,312.0
812812008.0,326.0,311.0
812813664.0,328.0,322.0
812815320.0,325.0,309.0
812816976.0,319.0,303.0
812818632.0,321.0,319.0
812820288.0,325.0,297.0
812821944.0,319.0,323.0
812823604.0,322.0,340.0
812825260.0,327.0,335.0
812826916.0,327.0,346.0
812828572.0,329.0,339.0
812830228.0,329.0,305.0
812831888.0,327.0,316.0
812833540.0,324.0,326.0
812835200.0,329.0,373.0
812836856.0,320.0,349.0
812838512.0,324.0,326.0
812840168.0,321.0,277.0
812841824.0,328.0,289.0
812843484.0,323.0,367.0
812845140.0,318.0,344.0
812846792.0,325.0,319.0
812848452.0,330.0,298.0
812850108.0,328.0,371.0
812851764.0,330.0,357.0
812853420.0,328.0,289.0
812855076.0,325.0,297.0
812856732.0,326.0,312.0
812858396.0,328.0,312.0
812860048.0,321.0,349.0
812861704.0,322.0,360.0
812863360.0,322.0,336.0
812865016.0,322.0,307.0
812866672.0,329.0,335.0
812868332.0,323.0,333.0
812869984.0,328.0,306.0
812871644.0,328.0,309.0
812873300.0,327.0,270.0
812874956.0,324.0,321.0
812876612.0,323.0,418.0
812878268.0,323.0,401.0
812879928.0,325.0,341.0
812881580.0,326.0,309.0
812883240.0,322.0,310.0
812884896.0,324.0,306.0
812886552.0,325.0,317.0
812888208.0,325.0,326.0
812889864.0,327.0,324.0
812891520.0,329.0,334.0
812893176.0,330.0,325.0
812894836.0,324.0,319.0
812896492.0,327.0,312.0
812898148.0,325.0,307.0
812899804.0,323.0,332.0
812901460.0,320.0,332.0
812903120.0,317.0,353.0
812904776.0,323.0,325.0
812906432.0,329.0,322.0
812908088.0,327.0,303.0
812909744.0,330.0,323.0
812911400.0,327.0,317.0
812913056.0,326.0,330.0
812914716.0,326.0,352.0
812916372.0,325.0,370.0
812918028.0,321.0,348.0
812919684.0,324.0,332.0
812921340.0,321.0,303.0
812922996.0,323.0,276.0
812924652.0,325.0,337.0
812926308.0,321.0,343.0
812927964.0,328.0,328.0
812929624.0,328.0,320.0
812931280.0,326.0,307.0
812932936.0,328.0,342.0
812934592.0,327.0,334.0
812936248.0,327.0,334.0
812937908.0,324.0,267.0
812939564.0,321.0,244.0
812941220.0,322.0,330.0
812942876.0,325.0,430.0
812944532.0,325.0,406.0
812946188.0,322.0,347.0
812947844.0,323.0,308.0
812949504.0,328.0,309.0
812951156.0,326.0,319.0
812952816.0,332.0,325.0
812954472.0,330.0,319.0
812956128.0,331.0,291.0
812957784.0,329.0,313.0
812959440.0,319.0,334.0
812961096.0,319.0,331.0
812962752.0,322.0,337.0
812964408.0,319.0,327.0
812966068.0,326.0,322.0
812967724.0,329.0,321.0
812969380.0,327.0,303.0
812971036.0,327.0,337.0
812972692.0,326.0,344.0
812974352.0,325.0,353.0
812976004.0,325.0,329.0
812977664.0,322.0,338.0
812979320.0,318.0,348.0
812980976.0,320.0,330.0
812982632.0,322.0,307.0
812984288.0,323.0,266.0
812985944.0,324.0,318.0
812987600.0,327.0,358.0
812989260.0,327.0,343.0
812990916.0,327.0,315.0
812992572.0,328.0,297.0
812994228.0,324.0,328.0
812995884.0,324.0,312.0
812997540.0,323.0,358.0
812999196.0,322.0,357.0
813000856.0,322.0,354.0
813002512.0,328.0,322.0
813004168.0,325.0,310.0
813005832.0,321.0,316.0
813007480.0,324.0,325.0
813009136.0,327.0,325.0
813010796.0,327.0,329.0
813012452.0,329.0,341.0
813014108.0,327.0,310.0
813015764.0,326.0,278.0
813017420.0,325.0,333.0
813019076.0,322.0,361.0
813020732.0,323.0,358.0
813022388.0,324.0,334.0
813024048.0,325.0,317.0
813025704.0,324.0,289.0
813027360.0,325.0,339.0
813029016.0,324.0,356.0
813030672.0,326.0,338.0
813032328.0,330.0,302.0
813033988.0,326.0,297.0
813035644.0,325.0,320.0
813037300.0,323.0,297.0
813038956.0,324.0,370.0
813040612.0,322.0,386.0
813042268.0,320.0,356.0
813043924.0,322.0,330.0
813045584.0,326.0,301.0
813047240.0,323.0,308.0
813048896.0,328.0,266.0
813050552.0,327.0,335.0
813052208.0,328.0,398.0
813053864.0,333.0,343.0
813055520.0,328.0,265.0
