timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2)
292919568.0,327.0,326.0
292921228.0,326.0,325.0
292922884.0,327.0,327.0
292924540.0,326.0,327.0
292926196.0,326.0,327.0
292927852.0,323.0,326.0
292929512.0,324.0,328.0
292931168.0,322.0,327.0
292932824.0,322.0,327.0
292934480.0,322.0,328.0
292936136.0,324.0,329.0
292937792.0,327.0,330.0
292939448.0,327.0,328.0
292941104.0,329.0,327.0
292942764.0,329.0,327.0
292944420.0,328.0,327.0
292946076.0,325.0,327.0
292947732.0,324.0,326.0
292949388.0,323.0,328.0
292951052.0,321.0,326.0
292952700.0,323.0,327.0
292954356.0,324.0,327.0
292956016.0,323.0,329.0
292957672.0,326.0,329.0
292959328.0,327.0,328.0
292960984.0,329.0,327.0
292962640.0,329.0,328.0
292964296.0,328.0,327.0
292965956.0,326.0,326.0
292967612.0,325.0,326.0
292969268.0,324.0,327.0
292970924.0,321.0,326.0
292972580.0,321.0,327.0
292974236.0,321.0,326.0
292975892.0,323.0,329.0
292977552.0,325.0,328.0
292979208.0,325.0,328.0
292980864.0,329.0,328.0
292982520.0,330.0,328.0
292984176.0,327.0,329.0
292985832.0,326.0,326.0
292987492.0,325.0,326.0
292989148.0,324.0,326.0
292990804.0,321.0,327.0
292992460.0,322.0,327.0
292994116.0,322.0,327.0
292995772.0,323.0,327.0
292997428.0,325.0,329.0
292999084.0,325.0,328.0
293000740.0,328.0,329.0
293002400.0,328.0,327.0
293004056.0,328.0,327.0
293005712.0,326.0,327.0
293007376.0,324.0,326.0
293009024.0,323.0,325.0
293010680.0,323.0,326.0
293012336.0,320.0,327.0
293013996.0,322.0,329.0
293015652.0,325.0,328.0
293017308.0,326.0,329.0
293018964.0,328.0,328.0
293020620.0,329.0,327.0
293022276.0,328.0,329.0
293023932.0,328.0,326.0
293025592.0,326.0,329.0
293027248.0,325.0,328.0
293028904.0,323.0,327.0
293030560.0,323.0,327.0
293032216.0,322.0,328.0
293033872.0,321.0,327.0
293035528.0,323.0,327.0
293037188.0,325.0,327.0
293038844.0,327.0,328.0
293040500.0,327.0,327.0
293042156.0,329.0,329.0
293043812.0,328.0,327.0
293045468.0,327.0,326.0
293047124.0,325.0,327.0
293048780.0,325.0,327.0
293050440.0,322.0,326.0
293052096.0,322.0,327.0
293053752.0,321.0,327.0
293055408.0,323.0,327.0
293057064.0,325.0,330.0
293058720.0,326.0,328.0
293060380.0,328.0,328.0
293062036.0,329.0,328.0
293063700.0,328.0,327.0
293065348.0,328.0,327.0
293067004.0,324.0,326.0
293068660.0,324.0,327.0
293070320.0,321.0,328.0
293071976.0,321.0,326.0
293073632.0,323.0,326.0
293075288.0,324.0,328.0
293076944.0,326.0,330.0
293078600.0,325.0,330.0
293080256.0,329.0,328.0
293081912.0,328.0,328.0
293083572.0,328.0,329.0
293085228.0,327.0,327.0
293086884.0,325.0,327.0
293088540.0,324.0,328.0
293090196.0,323.0,327.0
293091852.0,321.0,328.0
293093508.0,321.0,326.0
293095164.0,321.0,327.0
293096824.0,324.0,328.0
293098480.0,325.0,326.0
293100136.0,328.0,327.0
293101792.0,329.0,328.0
293103448.0,327.0,328.0
293105108.0,327.0,328.0
293106764.0,325.0,325.0
293108420.0,325.0,326.0
293110076.0,324.0,326.0
293111732.0,320.0,326.0
293113388.0,322.0,327.0
293115044.0,322.0,327.0
293116700.0,323.0,328.0
293118360.0,326.0,328.0
293120024.0,327.0,328.0
293121672.0,327.0,329.0
293123328.0,327.0,327.0
293124984.0,326.0,328.0
293126640.0,327.0,326.0
293128296.0,326.0,328.0
293129952.0,322.0,328.0
293131612.0,322.0,327.0
293133268.0,322.0,326.0
293134924.0,322.0,327.0
293136580.0,325.0,329.0
293138236.0,325.0,328.0
293139896.0,329.0,330.0
293141552.0,328.0,328.0
293143204.0,329.0,326.0
293144864.0,327.0,327.0
293146520.0,326.0,326.0
293148176.0,326.0,326.0
293149832.0,323.0,327.0
293151488.0,322.0,327.0
293153148.0,321.0,327.0
293154800.0,322.0,327.0
293156460.0,323.0,328.0
293158116.0,326.0,329.0
293159772.0,326.0,329.0
293161428.0,329.0,330.0
293163084.0,328.0,328.0
293164740.0,327.0,328.0
293166396.0,327.0,327.0
293168056.0,324.0,326.0
293169712.0,323.0,327.0
293171368.0,323.0,329.0
293173024.0,321.0,327.0
293174680.0,321.0,326.0
293176348.0,323.0,327.0
293177996.0,326.0,329.0
293179652.0,327.0,328.0
293181308.0,328.0,329.0
293182964.0,329.0,328.0
293184620.0,326.0,326.0
293186276.0,328.0,327.0
293187932.0,324.0,326.0
293189592.0,324.0,326.0
293191248.0,322.0,327.0
293192904.0,322.0,326.0
293194560.0,322.0,327.0
293196216.0,322.0,327.0
293197872.0,326.0,330.0
293199528.0,327.0,330.0
293201188.0,328.0,329.0
293202844.0,328.0,328.0
293204500.0,328.0,328.0
293206156.0,327.0,327.0
293207812.0,325.0,327.0
293209468.0,324.0,327.0
293211128.0,322.0,328.0
293212784.0,323.0,327.0
293214440.0,322.0,327.0
293216096.0,324.0,328.0
293217752.0,326.0,329.0
293219408.0,326.0,328.0
293221064.0,328.0,328.0
293222724.0,331.0,328.0
293224376.0,327.0,327.0
293226032.0,328.0,327.0
293227692.0,326.0,325.0
293229348.0,325.0,326.0
293231004.0,322.0,327.0
293232668.0,323.0,327.0
293234316.0,321.0,327.0
