global_time,timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2),angle
1691507136.274064,13891060.0,321.0,360.0,
1691507136.274064,13892636.0,323.0,366.0,
1691507136.2750635,13894200.0,324.0,370.0,
1691507136.2750635,13895768.0,324.0,362.0,
1691507136.2760644,13897336.0,324.0,356.0,
1691507136.2760644,13898908.0,324.0,340.0,
1691507136.2760644,13900476.0,322.0,329.0,
1691507136.2770646,13902044.0,317.0,317.0,
1691507136.2770646,13903616.0,312.0,317.0,
1691507136.2770646,13905184.0,314.0,315.0,
1691507136.2780645,13906756.0,315.0,324.0,
1691507136.2780645,13908324.0,317.0,331.0,
1691507136.2780645,13909892.0,321.0,351.0,
1691507136.2780645,13911464.0,321.0,377.0,
1691507136.279065,13913032.0,329.0,355.0,
1691507136.279065,13914600.0,329.0,356.0,
1691507136.279065,13916176.0,325.0,361.0,
1691507136.280064,13917740.0,323.0,358.0,
1691507136.280064,13919308.0,321.0,341.0,
1691507136.280064,13920880.0,321.0,332.0,
1691507136.2810647,13922448.0,319.0,320.0,
1691507136.2810647,13924016.0,317.0,318.0,
1691507136.2810647,13925584.0,316.0,314.0,
1691507136.2820642,13927156.0,317.0,333.0,
1691507136.2820642,13928724.0,319.0,335.0,
1691507136.2820642,13930296.0,326.0,330.0,
1691507136.2820642,13931864.0,323.0,361.0,
1691507136.2830644,13933432.0,322.0,370.0,
1691507136.2830644,13935000.0,323.0,372.0,
1691507136.2830644,13936572.0,323.0,363.0,
1691507136.2830644,13938140.0,324.0,353.0,
1691507136.2840643,13939712.0,320.0,337.0,
1691507136.2840643,13941280.0,320.0,331.0,
1691507136.2840643,13942852.0,319.0,318.0,
1691507136.2850647,13944420.0,317.0,326.0,
1691507136.2850647,13945988.0,317.0,319.0,
1691507136.2850647,13947560.0,322.0,311.0,
1691507136.2850647,13949128.0,318.0,334.0,
1691507136.286064,13950696.0,318.0,359.0,
1691507136.286064,13952268.0,319.0,364.0,
1691507136.3377357,13953836.0,320.0,367.0,
1691507136.3377357,13955404.0,324.0,365.0,
1691507136.3387356,13956976.0,323.0,359.0,
1691507136.3387356,13958544.0,324.0,352.0,
1691507136.3387356,13960112.0,323.0,333.0,
